Pct_2,Pct_1,Outcome,Net_immigration,Population,Populationdensity,GDHIPH,GGDHI,Taxes,Benefits,Median_age,0to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90
45.43,54.57,1,1.8,63506,1512,21528,0.513573001,2897.36,4094.1,45,13.06,10.04,9.7,11.81,14.39,13.27,12.53,9.42,5.91
41.35,58.65,1,1.1,96956,78,17527,1.672640382,2650.69,4135.9,47.2,11.29,10.37,10.27,10.18,14.03,14.94,14.06,9.62,5.34
39.72,60.28,1,1.2,124645,470,18747,2.451838879,3481.89,4613.1,45.5,11.6,10.46,10.81,11.11,14.88,14.53,13.35,8.64,4.7
37.52,62.48,1,4.8,156997,710,20731,1.210428305,2758.01,4095.62,48.9,11.31,9.39,9.72,9.94,12.71,13.49,14.54,11.56,7.48
30.16,69.84,1,1.7,124482,1132,16405,1.188707281,2305.55,3855.98,42.2,13.29,11.09,12.43,11.81,14.26,13.79,11.39,8.09,3.82
40.57,59.43,1,3.2,126151,217,19843,0,3511.66,4478.76,41.8,14.29,11.78,11.09,11.65,14.51,13.12,11.36,7.61,4.31
49.5,50.5,1,2.9,193113,214,26093,2.153596099,5835.96,5318.13,40.4,14.53,11.57,11.33,13.12,14.91,13.56,10.39,6.57,3.75
45.81,54.19,1,1.9,89498,151,18654,2.370820669,2905.09,4279.43,47.8,11.48,11.11,9.09,9.59,14.33,14.44,14.52,10.17,6.07
37.56,62.44,1,6.7,206460,5735,19234,6.263269639,3075.66,4528.72,32.1,20.66,12.87,15.05,16.19,13.66,10.07,6.05,3.67,2.57
62.23,37.77,2,10.4,386083,4438,27455,1.081236245,4263.33,4846.11,36.3,15.31,11.02,14.51,16.13,14.04,11.18,8.3,5.41,3.72
31.69,68.31,1,1.5,241218,733,15552,1.81375203,2143.29,3751.79,42.5,13.18,10.77,12.49,11.98,14.19,13.99,11.62,7.82,4.16
39.38,60.62,1,0.9,67321,863,17676,1.964133219,2718.32,4144.32,44.7,12.24,10.96,11.93,10.7,14.05,14.33,12.59,9,4.45
31.38,68.62,1,1.5,183378,1667,19809,3.526734926,3571.86,4586.16,39.5,14.8,11.37,12.59,13.29,14.01,12.87,10.29,6.81,4.13
48.1,51.9,1,3.3,174588,275,22783,1.088883262,4668.13,5235.18,40.8,14.56,10.95,11.3,13.78,15.15,13.72,10.49,6.75,3.61
32.17,67.83,1,2.2,114847,180,16201,0.592672414,2272.59,3874.72,45.2,12.25,10.74,11.01,10.83,14.23,14.77,13.11,8.7,4.63
57.85,42.15,2,3.1,187751,543,21955,3.037911122,3382.14,4569.88,38.9,11.59,13.78,16.09,10.28,12.53,12.32,10.6,7.52,4.82
48.22,51.78,1,3.2,168751,355,20136,3.344481605,3300.72,4592.57,39.9,14.54,11.85,11.56,13.4,14.2,13.02,10.29,6.77,4.37
37.05,62.95,1,2.6,244760,4012,20766,2.332127061,4155.09,4964.05,38.6,14.61,11.78,13.32,13.39,13.89,12.91,9.25,6.57,4.37
49.58,50.42,1,1,1124569,4196,14093,1.779769526,1919.85,3556.92,32.7,16.32,14.3,17.11,13.68,12.19,10.42,7.66,5.24,3.36
40.53,59.47,1,1.4,97703,752,18334,1.359773371,2927.24,4421.56,43.3,12.98,11.08,10.96,11.94,14.38,13.85,11.75,8.22,4.65
43.66,56.34,1,2,147049,1073,12450,0,1428.1,3339.02,36.2,16.45,13.53,13.32,13.57,13.74,12.02,9.51,5.74,3.03
32.54,67.46,1,2.4,139195,3977,14795,2.575532442,1602.07,3606.45,43.7,12.89,11.08,12.39,11.02,13.89,14.33,11.75,8.38,4.79
29.17,70.83,1,1.6,78082,488,15487,0.082644628,2190.01,3931.76,43.7,12.48,10.75,11.96,11.68,14.84,13.94,11.98,8.24,4.27
41.71,58.29,1,1.9,283115,2022,15260,0.069380204,2433.64,3977.18,38.8,15.06,11.99,13,12.56,13.87,12.54,10.55,6.94,3.58
24.44,75.56,1,2.6,67564,185,16659,0.534759358,2382.93,3863,42.2,13.5,10.18,12.53,12.63,12.82,12.81,12.29,8.5,4.91
45.12,54.88,1,6.1,197657,4297,19448,0.53390283,3096.27,4077.77,37.9,11.9,11.2,15.02,14.2,12.66,11.45,9.72,6.65,5.13
46.06,53.94,1,3.7,119447,1096,23733,3.045685279,5274.31,5508.72,38.7,14.81,11.81,12.05,14.81,15.37,13.52,9.16,5.5,3.16
45.77,54.23,1,2.8,534279,1460,14444,1.490961868,1991.47,3505.66,35.8,16.78,13.34,12.9,13.57,13.01,11.73,9.2,5.6,3.5
38.87,61.13,1,2.3,150999,247,18938,2.43204578,3152.34,4304.66,43,13.46,11.1,10.89,11.97,14.81,13.71,12.06,7.63,4.49
35.78,64.22,1,7.3,137032,105,17225,0.682011935,2327.92,3926.09,45.8,12.35,10.16,10.98,10.81,12.96,13.47,13.64,9.85,5.79
59.74,40.26,2,11.5,328254,7634,23580,1.866066702,3405.9,4807.25,34.6,15.39,11.25,16.05,17.23,13.2,11.46,7.51,4.61,2.7
40.85,59.15,1,2.1,76386,499,22940,1.674364896,5144.92,5000.92,43.3,12.61,11.02,11.33,12.34,14.43,14.15,10.89,7.99,5.69
68.62,31.38,2,5.4,289229,3485,20508,0.546354789,2935.39,4453.22,35.5,11.13,12.08,19.48,14.43,14.38,11.29,7.9,5.05,3.51
61.73,38.27,2,4.6,454213,4129,17633,2.017510468,2774.03,4632.19,32.9,13.91,11.83,21.05,15.33,11.72,10.13,7.85,5.1,3.42
45.63,54.37,1,3.6,127455,231,17096,1.16117046,2683.3,4134.79,47.5,11.09,10.41,9.12,10.33,14.36,14.31,13.94,10.12,6.24
50.65,49.35,2,3.5,326889,2179,27169,1.737540009,5582.93,5497.28,40.5,14.43,10.64,11.27,14.48,15.01,12.96,9.91,6.8,4.67
44.63,55.37,1,5.8,96769,446,20176,2.252488214,3027.83,4195.56,45.5,12.11,10.66,10.33,10.79,14.64,14.15,12.52,8.99,5.79
33.74,66.26,1,5.1,96779,1898,23826,0.962379703,5311.07,5373.07,40.1,14.38,11.32,12.26,13.14,14.37,13.02,9.84,7.3,4.43
45.35,54.65,1,2.2,112671,1408,19301,2.123643228,3985.05,4837.09,43.1,12.19,10.2,12.55,12.13,13.89,13.48,11.98,8.29,4.77
33.39,66.61,1,3.9,87522,788,14604,-0.078186083,2045.2,3873.31,40,14.7,11.33,12.78,12.33,13.05,13.03,11.51,7.23,3.97
45.88,54.12,1,2.1,188669,1906,15637,-0.338066261,2146.62,3837.41,40.6,14.42,11.34,12.1,12.55,14.1,13.3,10.91,7.33,3.83
44.32,55.68,1,3.1,209770,576,16060,1.480809912,2426.47,3904.28,41.9,13.77,11.29,11.42,12.23,14.42,13.98,11.39,7.16,3.96
73.85,26.15,2,10.6,124635,3215,24472,2.143335566,4870.22,5215.23,31.3,12.02,14.46,22.83,13.81,11.43,9.7,7.31,4.76,3.63
74.94,25.06,2,10.6,246181,11190,44892,2.530021084,9212.73,6860.81,34,12.7,10.87,21.16,18.36,13.36,9.82,7.38,4.72,2.79
31.14,68.86,1,2.8,98534,1247,18283,1.866515837,2922.85,4384.27,42.5,12.6,10.96,12.48,12.1,14.96,13.76,11.33,7.8,3.94
48.96,51.04,1,6,162416,526,18679,1.471079906,2462.81,3854.3,38,10.75,14.81,17.65,9.63,11.31,11.59,11.31,7.89,5.06
39.86,60.14,1,2.5,108409,104,19534,0.761542123,2582.81,4003.36,44.1,12.51,10.38,11.81,11.53,13.59,14.41,12.39,8.35,4.99
27.3,72.7,1,0.9,89731,1994,19249,2.612826603,3354.47,4580.36,46.7,11.32,10.88,10.83,9.9,13.48,13.73,14.1,10.39,5.36
43.87,56.13,1,6.3,278937,390,20719,3.689636462,4054.68,5083.59,41.1,13.97,10.55,11.55,13.15,14.54,13.76,10.94,6.98,3.74
46.19,53.81,1,2,179389,643,18970,1.23345367,3054.81,4381.54,38.5,11.79,13.06,15.44,11.52,12.73,12.33,10.65,7.08,4.21
47.17,52.83,1,2,174089,514,22246,1.38670853,5181.26,4974.47,41.6,13.15,10.95,12.09,13,14.53,13.12,11.17,7.45,4.57
56.17,43.83,2,4.3,117530,2501,21371,-0.437201908,3743.73,4492.47,39.6,12.27,11.73,13.91,13.52,13.09,12.54,10.35,7.3,4.99
49.69,50.31,1,3.5,146338,248,23184,2.688009665,4653.61,5295.96,40.9,14.21,10.91,11.32,13.87,14.63,13.42,10.55,7.09,4.16
48.82,51.18,1,1.1,376695,323,22025,0.241254524,3825.38,4481.08,45.6,12.31,10.6,10,10.95,14.66,14.53,12.75,9,5.32
49.32,50.68,1,2.3,335680,366,19372,-1.930036188,3029.67,4152.76,44.1,12.35,10.99,11.5,11.24,14.06,14.14,12.35,8.52,4.81
39.96,60.04,1,1.3,104440,1582,15624,-0.487507617,2183.07,3925.7,44.1,12,10.35,12.13,11.6,14.37,14.24,12.26,8.25,4.85
49.08,50.92,1,2.5,118175,150,21814,1.246591352,2834.78,4121.01,48.4,11.44,10.77,9.82,9.56,12.92,14.34,13.99,10.77,7.15
55.02,44.98,2,3,95103,485,27106,0.663026521,5457.24,5331.06,44.9,13.95,11.81,8.26,10.44,15.1,14.77,11.46,8.7,5.57
43.17,56.83,1,2,114351,563,18696,2.005730659,2553.54,4101.41,43.1,12.89,10.39,11.51,12.37,14.87,13.84,12.27,7.9,3.84
41.17,58.83,1,1.7,49481,990,20560,0.889328063,2586.85,3920.7,50.6,10.55,10.02,8.52,9.11,12.63,13.14,14.66,12.59,9.07
75.29,24.71,2,10.8,7246,3134,56664,3.266331658,8280.43,6762.35,38.7,10.58,7.17,12.5,13.26,16.58,15.15,12.9,7.39,4.43
46.4,53.6,1,3.9,186635,567,19526,3.825446302,3300.56,4323.95,38.2,13.49,11.87,15.49,13.01,13.62,11.8,10.39,6.83,3.98
38,62,1,1,69307,95,17555,1.332223147,2712.57,4126.57,46,11.85,9.95,11.29,10.7,13.73,15.5,13.26,8.99,4.69
35.75,64.25,1,1.7,68187,852,18540,1.850362027,3153.09,4326.34,37.1,16.28,11.02,12.9,14.86,13.7,13.22,9.47,5.81,2.85
43.48,56.52,1,2,553687,156,17018,0.95115956,1930.69,3635.63,46.7,11.81,10.85,10.19,10.23,13.27,14.21,14.44,9.72,5.5
51.1,48.9,2,2.4,85756,74,21198,0.27457441,3474.98,4524.46,48.5,10.99,10.56,8.95,9.37,14.54,15.27,14.28,10.16,6.27
42.45,57.55,1,1.3,522143,235,15221,-0.213594673,2332.69,3748.02,43.4,12.07,11.25,12.73,11.18,13.38,14.19,12.47,8.27,4.34
44.4,55.6,1,2.8,352911,3565,14175,2.225398122,2085.51,3916,32.8,14.38,13.1,20.08,13.21,11.74,10.24,8.01,5.8,3.48
47.17,52.83,1,6,56308,48,20259,1.875,3090.15,4333.31,49.3,10.71,10.31,8.73,9.05,13.87,15.55,14.94,10.41,6.46
41.59,58.41,1,3.5,111375,2475,22830,0.315084679,4633,4893.38,36.6,15.97,10.92,13.5,16.63,14.15,12.1,8.42,4.8,3.62
54.29,45.71,2,5.1,382304,4445,21766,3.846153846,3382.13,4805.08,36.8,16.07,11.79,13.24,15.36,14.16,12.76,8.43,5.19,3.2
49.33,50.67,1,2.5,152692,720,24056,0.908090259,5363.74,5357.19,40.5,14.33,10.76,11.68,13.77,14.52,13.68,10.14,6.43,4.49
43.82,56.18,1,2.4,105646,536,15487,0,2177.08,3937.68,42.7,13.4,11.05,11.69,12.19,14.03,13.94,11.61,7.95,4.75
35.78,64.22,1,4.5,105543,1446,19449,2.507522568,3012.99,4292.09,37.4,15.29,11.03,13.16,15.15,14.53,12.14,8.72,5.75,3.77
41.4,58.6,1,4.5,81316,123,19988,3.843689942,3554.04,4673.13,45.2,12.41,11.13,10,10.43,15.36,15.1,13.09,8.07,4.09
42.78,57.22,1,3.8,256233,3285,15078,1.89923503,2306.49,4328.09,36.6,15.01,12.39,14.91,12.95,13.19,11.77,9.04,6.43,4.24
48.44,51.56,1,1.2,71288,90,18987,1.571856287,3310.52,4615.08,49.9,10,10.57,8.59,8.57,14.42,16.05,15.63,10.51,5.89
31.04,68.96,1,2.9,306397,539,15595,1.675503712,2134.49,3753.3,41.4,13.67,10.85,12.87,12.43,13.44,13.8,11.4,7.54,4.28
37.85,62.15,1,2.8,114227,363,17378,0.352822581,2311.19,3860.73,46.1,12.12,10.9,10.51,10.41,13.37,14.6,13.91,9.2,5.23
32.4,67.6,1,4.7,317634,3241,15878,2.168186424,2307.69,3840.9,42.2,13.41,11.31,11.97,11.82,13.91,12.96,11.22,8.63,4.69
60.4,39.6,2,11.9,343196,6129,26655,2.934259156,5434.21,5431.3,35.9,15.92,10.93,14.7,17.32,14.54,11.35,7.99,4.81,2.86
49.08,50.92,1,3.7,87825,135,20406,2.272727273,4235.7,5237.69,42.6,14.25,10.64,9.93,13.22,15.01,13.31,11.62,7.8,4.59
45.89,54.11,1,1.7,139908,172,18358,1.099332548,2115.68,3823.94,50.5,10.95,9.72,8.63,8.94,12.63,13.83,15.44,12.05,8.03
42.38,57.62,1,1.6,89093,252,20555,0.109349371,2581.57,3906.03,51.7,10.37,9.59,8.15,8.22,12.62,14.45,15.78,12.52,8.24
50.52,49.48,2,2.8,117955,229,24662,1.139896373,4518.67,4891.7,46.5,12.3,11.53,9.01,9.94,14.81,15.4,13.02,9.08,5.51
49.64,50.36,1,2.9,146309,307,24377,1.221938051,5351.69,5358.52,42.1,13.53,11.46,10.5,12.78,15.8,14.2,10.41,6.91,4.24
29.35,70.65,1,1.7,138443,78,15878,-0.944244604,2203.07,3857.18,51.2,10.52,9.52,9.14,8.43,12.22,14.98,17,12.23,6.14
