RegionCode,Area,VerifiedBallotPapers,Pct_Turnout,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave,Outcome,Diff
E07000223,Adur,37251,76.4,37229,16914,20315,45.43,54.57,Leave,9.14
E07000026,Allerdale,54268,72.92,54238,22429,31809,41.35,58.65,Leave,17.3
E07000032,Amber Valley,73868,76.34,73820,29319,44501,39.72,60.28,Leave,20.56
E07000224,Arun,91198,77.86,91129,34193,56936,37.52,62.48,Leave,24.96
E07000170,Ashfield,66947,72.83,66899,20179,46720,30.16,69.84,Leave,39.68
E07000105,Ashford,69828,77.14,69786,28314,41472,40.57,59.43,Leave,18.86
E07000004,Aylesbury Vale,106895,78.46,106833,52877,53956,49.5,50.5,Leave,1
E07000200,Babergh,55274,78.26,55242,25309,29933,45.81,54.19,Leave,8.38
E09000002,Barking and Dagenham,73941,63.85,73880,27750,46130,37.56,62.44,Leave,24.88
E09000003,Barnet,161208,72.14,161033,100210,60823,62.23,37.77,Remain,-24.46
E08000016,Barnsley,122972,69.95,122909,38951,83958,31.69,68.31,Leave,36.62
E07000027,Barrow-in-Furness,36101,67.87,36074,14207,21867,39.38,60.62,Leave,21.24
E07000066,Basildon,98071,73.86,97999,30748,67251,31.38,68.62,Leave,37.24
E07000084,Basingstoke and Deane,100395,78.02,100328,48257,52071,48.1,51.9,Leave,3.8
E07000171,Bassetlaw,64005,74.82,63967,20575,43392,32.17,67.83,Leave,35.66
E06000022,Bath and North East Somerset,105298,77.13,105230,60878,44352,57.85,42.15,Remain,-15.7
E06000055,Bedford,86136,72.06,86066,41497,44569,48.22,51.78,Leave,3.56
E09000004,Bexley,128570,75.28,128489,47603,80886,37.05,62.95,Leave,25.9
E08000025,Birmingham,451336,63.81,450702,223451,227251,49.58,50.42,Leave,0.84
E07000129,Blaby,56514,76.54,56471,22888,33583,40.53,59.47,Leave,18.94
E06000008,Blackburn with Darwen,65408,65.33,65321,28522,36799,43.66,56.34,Leave,12.68
E06000009,Blackpool,66959,65.42,66927,21781,45146,32.54,67.46,Leave,34.92
E07000033,Bolsover,42000,72.33,41972,12242,29730,29.17,70.83,Leave,41.66
E08000001,Bolton,138180,70.1,138080,57589,80491,41.71,58.29,Leave,16.58
E07000136,Boston,30417,77.27,30404,7430,22974,24.44,75.56,Leave,51.12
E06000028,Bournemouth,91998,69.3,91926,41473,50453,45.12,54.88,Leave,9.76
E06000036,Bracknell Forest,64922,76.11,64890,29888,35002,46.06,53.94,Leave,7.88
E08000032,Bradford,228729,66.72,228488,104575,123913,45.77,54.23,Leave,8.46
E07000067,Braintree,86309,76.67,86236,33523,52713,38.87,61.13,Leave,22.26
E07000143,Breckland,73593,74.34,73548,26313,47235,35.78,64.22,Leave,28.44
E09000005,Brent,121678,65.14,121404,72523,48881,59.74,40.26,Remain,-19.48
E07000068,Brentwood,46724,79.5,46704,19077,27627,40.85,59.15,Leave,18.3
E06000043,Brighton and Hove,146840,74.05,146675,100648,46027,68.62,31.38,Remain,-37.24
E06000023,"Bristol, City of",228678,73.17,228445,141027,87418,61.73,38.27,Remain,-23.46
E07000144,Broadland,77783,78.37,77737,35469,42268,45.63,54.37,Leave,8.74
E09000006,Bromley,182570,78.87,182432,92398,90034,50.65,49.35,Remain,-1.3
E07000234,Bromsgrove,58855,79.35,58815,26252,32563,44.63,55.37,Leave,10.74
E07000095,Broxbourne,50907,73.78,50872,17166,33706,33.74,66.26,Leave,32.52
E07000172,Broxtowe,65468,78.32,65426,29672,35754,45.35,54.65,Leave,9.3
E07000117,Burnley,43350,67.25,43316,14462,28854,33.39,66.61,Leave,33.22
E08000002,Bury,101144,71.43,101028,46354,54674,45.88,54.12,Leave,8.24
E08000033,Calderdale,106008,71.05,105925,46950,58975,44.32,55.68,Leave,11.36
E07000008,Cambridge,57860,72.22,57799,42682,15117,73.85,26.15,Remain,-47.7
E09000007,Camden,95282,65.52,95133,71295,23838,74.94,25.06,Remain,-49.88
E07000192,Cannock Chase,53610,71.47,53578,16684,36894,31.14,68.86,Leave,37.72
E07000106,Canterbury,82105,75.05,82048,40169,41879,48.96,51.04,Leave,2.08
E07000028,Carlisle,59721,74.54,59683,23788,35895,39.86,60.14,Leave,20.28
E07000069,Castle Point,51909,75.38,51845,14154,37691,27.3,72.7,Leave,45.4
E06000056,Central Bedfordshire,158896,77.89,158804,69670,89134,43.87,56.13,Leave,12.26
E07000130,Charnwood,94258,70.46,94172,43500,50672,46.19,53.81,Leave,7.62
E07000070,Chelmsford,100866,77.6,100794,47545,53249,47.17,52.83,Leave,5.66
E07000078,Cheltenham,66059,75.88,66013,37081,28932,56.17,43.83,Remain,-12.34
E07000177,Cherwell,81912,75.6,81836,40668,41168,49.69,50.31,Leave,0.62
E06000049,Cheshire East,221229,77.36,221125,107962,113163,48.82,51.18,Leave,2.36
E06000050,Cheshire West and Chester,193633,74.51,193537,95455,98082,49.32,50.68,Leave,1.36
